ADRES,NAZWA,TYP,ROZMIAR,LICZBA,FORMULA,FORMULA1,OPIS,OPIS1,SLOWNIK,REGWYM,WYMOG,UWAGI,POLECENIE,POLECENIE1,WYST,DT_DOD
JPK_V7K_3\4.Ewidencja\1.SprzedazWiersz\34.I_63\,.,N,1,,"iif(RVJ(RV->NR_DOK,'I_63'),1,.F.)",,Wewn¥trzwsp¢lnotowa dostawa towar¢w nast©puj¥ca po imporcie tych towar¢w w ramach procedury celnej 63 (import).,,,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\4.Ewidencja\1.SprzedazWiersz\35.B_SPV\,.,N,1,,"iif(RVJ(RV->NR_DOK,'B_SPV'),1,.F.)",,"Transfer bonu jednego przeznaczenia dokonany przez podatnika dziaˆaj¥cego we wˆasnym imieniu, opodatkowany zgodnie z art. 8a ust. 1 ustawy.",,,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\4.Ewidencja\1.SprzedazWiersz\36.B_SPV_DOSTAWA\,.,N,1,,"iif(RVJ(RV->NR_DOK,'B_SPV_DOSTAWA'),1,.F.)",,"Dostawa towar¢w oraz ˜wiadczenie usˆug, kt¢rych dotyczy bon jednego przeznaczenia na rzecz podatnika, kt¢ry wyemitowaˆ bon zgodnie z art. 8a ust. 4 ustawy.",,,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\4.Ewidencja\1.SprzedazWiersz\37.B_MPV_PROWIZJA\,.,N,1,,"iif(RVJ(RV->NR_DOK,'B_MPV_PROWIZJA'),1,.F.)",,"—wiadczenie usˆug po˜rednictwa oraz innych usˆug dotycz¥cych transferu bonu r¢¾nego przeznaczenia, opodatkowane zgodnie z art. 8b ust. 2 ustawy.",,,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\4.Ewidencja\1.SprzedazWiersz\38.MPP\,.,N,1,,"iif(RVJ(RV->NR_DOK,'MPP'),1,.F.)",,"Transakcja obj©ta obowi¥zkiem stosowania mechanizmu podzielonej pˆatno˜ci. Oznaczenie MPP nale¾y stosowa† do faktur o kwocie brutto wy¾szej ni¾ 15 000,00 zˆ, kt¢re dokumentuj¥ dostaw© towar¢w lub ˜wiadczenie usˆug wymienionych w zaˆ¥czniku nr 15 do ustawy",.,,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\4.Ewidencja\1.SprzedazWiersz\39.KorektaPodstawyOpodt\,.,N,1,,.F.,,"Korekta podstawy opodatkowania oraz podatku nale¾nego, o kt¢rej mowa w art. 89a ust. 1 i 4 ustawy (pole opcjonalne). Podaje si© ""1"" w przypadku dokonania odpowiednio korekt, o kt¢rych mowa w art. 89a ust. 1 lub ust. 4 ustawy, w pozycjach od K_15 do K_20.",W przeciwnym przypadku - pole pozostaje puste.,,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\4.Ewidencja\1.SprzedazWiersz\K_10\,.,N,12.2,,"iif(RVN(RV->NR_DOK,'S','Z')<>0,RVN(RV->NR_DOK,'S','Z'),.F.)",,"Wysoko˜† podstawy opodatkowania wynikaj¥ca z dostawy towar¢w oraz ˜wiadczenia usˆug na terytorium kraju, zwolnionych od podatku (pole opcjonalne). Podaje si© warto˜† netto dostawy towar¢w oraz ˜wiadczenia usˆug na terytorium kraju zwolnionych od podatku n",a podstawie art. 43 lub art. 82 ustawy. W przypadku braku - pole pozostaje puste.,,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\4.Ewidencja\1.SprzedazWiersz\K_11\,.,N,12.2,,"iif(RVN(RV->NR_DOK,'S','K')<>0,RVN(RV->NR_DOK,'S','K'),.F.)",,"Wysoko˜† podstawy opodatkowania wynikaj¥ca z dostawy towar¢w oraz ˜wiadczenia usˆug poza terytorium kraju (pole opcjonalne). Podaje si© warto˜† netto dostaw towar¢w oraz ˜wiadczenia usˆug poza terytorium kraju, w ka¾dym przypadku, gdy w odniesieniu do nic","h przysˆugiwaˆo podatnikowi prawo do obni¾enia kwoty podatku nale¾nego, o kt¢rym mowa w art. 86 ust. 8 pkt 1 ustawy, lub prawo do zwrotu kwoty podatku naliczonego, o kt¢rym mowa w art. 87 ust. 5 ustawy. W przypadku braku - pole pozostaje puste.",,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\4.Ewidencja\1.SprzedazWiersz\K_12\,.,N,12.2,,"iif(RVN(RV->NR_DOK,'S','K')<>0,RVN(RV->NR_DOK,'S','K'),.F.)",,"Wysoko˜† podstawy opodatkowania wynikaj¥ca ze ˜wiadczenia usˆug, o kt¢rych mowa w art. 100 ust. 1 pkt 4 ustawy (pole opcjonalne). Podaje si© warto˜† netto usˆug, kt¢rych miejsce ˜wiadczenia znajduje si© na terytorium innego ni¾ Polska paästwa czˆonkowskie","go, ˜wiadczonych na rzecz podatnik¢w podatku od warto˜ci dodanej lub os¢b prawnych nieb©d¥cych takimi podatnikami, zidentyfikowanych na potrzeby podatku od warto˜ci dodanej, dla kt¢rych zobowi¥zanym do zapˆaty podatku od warto˜ci dodanej jest usˆugobiorca",,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\4.Ewidencja\1.SprzedazWiersz\K_13\,.,N,12.2,,"iif(RVN(RV->NR_DOK,'S','A',0)<>0,RVN(RV->NR_DOK,'S','A',0),.F.)",,"Wysoko˜† podstawy opodatkowania wynikaj¥ca z dostawy towar¢w oraz ˜wiadczenia usˆug na terytorium kraju, opodatkowanych stawk¥ 0% (pole opcjonalne). Podaje si© warto˜† netto dostaw towar¢w oraz ˜wiadczenia usˆug na terytorium kraju opodatkowanych stawk¥ 0",%. W przypadku braku - pole pozostaje puste.,,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\4.Ewidencja\1.SprzedazWiersz\K_14\,.,N,12.2,,.F.,,"Wysoko˜† podstawy opodatkowania wynikaj¥ca z dostawy towar¢w, o kt¢rej mowa w art. 129 ustawy (pole opcjonalne). Podaje si© warto˜† netto dostaw towar¢w, od kt¢rych dokonano zwrotu podatku podr¢¾nemu, opodatkowanych stawk¥ 0%. W przypadku braku - pole poz",ostaje puste.,,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\4.Ewidencja\1.SprzedazWiersz\K_15\,.,N,12.2,,"iif(RVN(RV->NR_DOK,'S','A',5)<>0,RVN(RV->NR_DOK,'S','A',5),.F.)",,"Wysoko˜† podstawy opodatkowania wynikaj¥ca z dostawy towar¢w oraz ˜wiadczenia usˆug na terytorium kraju, opodatkowanych stawk¥ 5%, z uwzgl©dnieniem korekty dokonanej zgodnie z art. 89a ust. 1 i 4 ustawy (pole opcjonalne). Podaje si© warto˜† netto dostaw t","owar¢w oraz ˜wiadczonych usˆug na terytorium kraju opodatkowanych stawk¥ 5%, a tak¾e korekty zmniejszaj¥ce podstaw© opodatkowania zgodnie z art. 89a ust. 1 ustawy oraz korekty zwi©kszaj¥ce podstaw© opodatkowania zgodnie z art. 89a ust. 4 ustawy, w odniesi",,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\4.Ewidencja\1.SprzedazWiersz\K_16\,.,N,12.2,,"iif(RVV(RV->NR_DOK,'S','A',5)<>0,RVV(RV->NR_DOK,'S','A',5),.F.)",,"Wysoko˜† podatku nale¾nego wynikaj¥ca z dostawy towar¢w oraz ˜wiadczenia usˆug na terytorium kraju, opodatkowanych stawk¥ 5%, z uwzgl©dnieniem korekty dokonanej zgodnie z art. 89a ust. 1 i 4 ustawy (pole opcjonalne). Podaje si© wysoko˜† podatku nale¾nego","z tytuˆu dostaw towar¢w oraz ˜wiadczonych usˆug na terytorium kraju, opodatkowanych stawk¥ 5%, a tak¾e korekty zmniejszaj¥ce podatek nale¾ny zgodnie z art. 89a ust. 1 ustawy oraz korekty zwi©kszaj¥ce podatek nale¾ny zgodnie z art. 89a ust. 4 ustawy, w odn",,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\4.Ewidencja\1.SprzedazWiersz\K_17\,.,N,12.2,,"iif(RVN(RV->NR_DOK,'S','A',7)+RVN(RV->NR_DOK,'S','A',8)+RVN(RV->NR_DOK,'S','P',8)<>0,RVN(RV->NR_DOK,'S','A',7)+RVN(RV->NR_DOK,'S','A',8)+RVN(RV->NR_DOK,'S','P',8),.F.)",,"Wysoko˜† podstawy opodatkowania wynikaj¥ca z dostawy towar¢w oraz ˜wiadczenia usˆug na terytorium kraju, opodatkowanych stawk¥ 7% albo 8%, z uwzgl©dnieniem korekty dokonanej zgodnie z art. 89a ust. 1 i 4 ustawy (pole opcjonalne). Podaje si© warto˜† netto","dostaw towar¢w oraz ˜wiadczonych usˆug na terytorium kraju, opodatkowanych stawk¥ 7% lub 8%, a tak¾e korekty zmniejszaj¥ce podstaw© opodatkowania zgodnie z art. 89a ust. 1 ustawy oraz korekty zwi©kszaj¥ce podstaw© opodatkowania zgodnie z art. 89a ust. 4 u",,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\4.Ewidencja\1.SprzedazWiersz\K_18\,.,N,12.2,,"iif(RVV(RV->NR_DOK,'S','A',7)+RVV(RV->NR_DOK,'S','A',8)+RVV(RV->NR_DOK,'S','P',8)<>0,RVV(RV->NR_DOK,'S','A',7)+RVV(RV->NR_DOK,'S','A',8)+RVV(RV->NR_DOK,'S','P',8),.F.)",,"Wysoko˜† podatku nale¾nego wynikaj¥ca z dostawy towar¢w oraz ˜wiadczenia usˆug na terytorium kraju, opodatkowanych stawk¥ 7% albo 8%, z uwzgl©dnieniem korekty dokonanej zgodnie z art. 89a ust. 1 i 4 ustawy (pole opcjonalne). Podaje si© wysoko˜† podatku na","le¾nego z tytuˆu dostaw towar¢w oraz ˜wiadczonych usˆug na terytorium kraju, opodatkowanych stawk¥ 7% lub 8%, a tak¾e korekty zmniejszaj¥ce podatek nale¾ny zgodnie z art. 89a ust. 1 ustawy oraz korekty zwi©kszaj¥ce podatek nale¾ny zgodnie z art. 89a ust.",,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\4.Ewidencja\1.SprzedazWiersz\K_19\,.,N,12.2,,"iif(RVN(RV->NR_DOK,'S','A',22)+RVN(RV->NR_DOK,'S','A',23)+RVN(RV->NR_DOK,'S','P',23)<>0,RVN(RV->NR_DOK,'S','A',22)+RVN(RV->NR_DOK,'S','A',23)+RVN(RV->NR_DOK,'S','P',23),iif(RVV(RV->NR_DOK,'S','A',22)+RVV(RV->NR_DOK,'S','A',23)+RVV(RV->NR_DOK,'S','P',23)<>","0,""0"",.F.))","Wysoko˜† podstawy opodatkowania wynikaj¥ca z dostawy towar¢w oraz ˜wiadczenia usˆug na terytorium kraju, opodatkowanych stawk¥ 22% albo 23%, z uwzgl©dnieniem korekty dokonanej zgodnie z art. 89a ust. 1 i 4 ustawy (pole opcjonalne).
28
Podaje si© warto˜†"," netto dostaw towar¢w oraz ˜wiadczonych usˆug na terytorium kraju, opodatkowanych stawk¥ 22% lub 23%, a tak¾e korekty zmniejszaj¥ce podstaw© opodatkowania zgodnie z art. 89a ust. 1 ustawy oraz korekty zwi©kszaj¥ce podstaw© opodatkowania zgodnie z art. 89a",,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\4.Ewidencja\1.SprzedazWiersz\K_20\,.,N,12.2,,"iif(RVV(RV->NR_DOK,'S','A',22)+RVV(RV->NR_DOK,'S','A',23)+RVV(RV->NR_DOK,'S','P',23)<>0,RVV(RV->NR_DOK,'S','A',22)+RVV(RV->NR_DOK,'S','A',23)+RVV(RV->NR_DOK,'S','P',23),.F.)",,"Wysoko˜† podatku nale¾nego wynikaj¥ca z dostawy towar¢w oraz ˜wiadczenia usˆug na terytorium kraju, opodatkowanych stawk¥ 22% albo 23%, z uwzgl©dnieniem korekty dokonanej zgodnie z art. 89a ust. 1 i 4 ustawy (pole opcjonalne). Podaje si© wysoko˜† podatku","nale¾nego z tytuˆu dostaw towar¢w oraz ˜wiadczonych usˆug na terytorium kraju, opodatkowanych stawk¥ 22% lub 23%, a tak¾e korekty zmniejszaj¥ce podatek nale¾ny zgodnie z art. 89a ust. 1 ustawy oraz korekty zwi©kszaj¥ce podatek nale¾ny zgodnie z art. 89a u",,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\4.Ewidencja\1.SprzedazWiersz\K_21\,.,N,12.2,,"iif(RVN(RV->NR_DOK,'S','W')<>0,RVN(RV->NR_DOK,'S','W'),.F.)",,"Wysoko˜† podstawy opodatkowania wynikaj¥ca z wewn¥trzwsp¢lnotowej dostawy towar¢w, o kt¢rej mowa w art. 13 ust. 1 i 3 ustawy (pole opcjonalne). Podaje si© warto˜† netto dokonanej przez podatnika wewn¥trzwsp¢lnotowej dostawy towar¢w, o kt¢rej mowa w art. 1",3 ust. 1 i 3 ustawy. W przypadku braku - pole pozostaje puste.,,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\4.Ewidencja\1.SprzedazWiersz\K_22\,.,N,12.2,,"iif(RVN(RV->NR_DOK,'S','E')<>0,RVN(RV->NR_DOK,'S','E'),.F.)",,"Wysoko˜† podstawy opodatkowania wynikaj¥ca z eksportu towar¢w (pole opcjonalne). Podaje si© warto˜† netto dokonanego przez podatnika eksportu towar¢w, w rozumieniu art. 2 pkt 8 ustawy. W przypadku braku - pole pozostaje puste.",,,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\4.Ewidencja\1.SprzedazWiersz\K_23\,.,N,12.2,,"iif(RVN(RV->NR_DOK,'Z','Y')<>0,RVN(RV->NR_DOK,'Z','Y'),.F.)",,Wysoko˜† podstawy opodatkowania wynikaj¥ca z wewn¥trzwsp¢lnotowego nabycia towar¢w (pole opcjonalne). Podaje si© warto˜† netto wewn¥trzwsp¢lnotowego nabycia towar¢w obliczon¥ zgodnie z art. 29a ustawy. Kwota b©dzie por¢wnywana z warto˜ci¥ wewn¥trzwsp¢lnot,"owych naby†
29
towar¢w wykazan¥ w informacji podsumowuj¥cej. W pozycji tej nale¾y wykaza† r¢wnie¾: . wewn¥trzwsp¢lnotowe nabycie towar¢w, o kt¢rym mowa w art. 138 ust. 1 pkt 2 lit. a ustawy (dane te wykazuje ostatni w kolejno˜ci podatnik rozliczaj¥cy si",,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\4.Ewidencja\1.SprzedazWiersz\K_24\,.,N,12.2,,"iif(RVV(RV->NR_DOK,'Z','Y')<>0,RVV(RV->NR_DOK,'Z','Y'),.F.)",,"Wysoko˜† podatku nale¾nego wynikaj¥ca z wewn¥trzwsp¢lnotowego nabycia towar¢w (pole opcjonalne). Podaje si© wysoko˜† podatku nale¾nego z tytuˆu wewn¥trzwsp¢lnotowego nabycia towar¢w obliczon¥ od podstawy ustalonej zgodnie z art. 29a ustawy, z uwzgl©dnieni","em wewn¥trzwsp¢lnotowego nabycia towar¢w, o kt¢rym mowa w art. 138 ust. 1 pkt 2 lit. a ustawy, natomiast z wyˆ¥czeniem transakcji, o kt¢rych mowa w art. 136 ustawy. W przypadku braku - pole pozostaje puste. WA½NE W przypadku wyst¥pienia transakcji w pozyc",,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\4.Ewidencja\1.SprzedazWiersz\K_25\,.,N,12.2,,"iif(RVN(RV->NR_DOK,'Z','I')<>0,RVN(RV->NR_DOK,'Z','I'),.F.)",,"Wysoko˜† podstawy opodatkowania wynikaj¥ca z importu towar¢w rozliczanego zgodnie z art. 33a ustawy, potwierdzona zgˆoszeniem celnym lub deklaracj¥ importow¥, o kt¢rej mowa w art. 33b ustawy (pole opcjonalne). Podaje si© warto˜† netto importu towar¢w, wyˆ","¥cznie w przypadku wyboru przez podatnika rozliczenia podatku nale¾nego z tytuˆu importu towar¢w w deklaracji podatkowej, zgodnie z art. 33a ustawy. W przypadku braku - pole pozostaje puste.",,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\4.Ewidencja\1.SprzedazWiersz\K_26\,.,N,12.2,,"iif(RVV(RV->NR_DOK,'Z','I')<>0,RVV(RV->NR_DOK,'Z','I'),.F.)",,"Wysoko˜† podatku nale¾nego wynikaj¥ca z importu towar¢w rozliczanego zgodnie z art. 33a ustawy, potwierdzona
30
zgˆoszeniem celnym lub deklaracj¥ importow¥, o kt¢rej mowa w art. 33b ustawy (pole opcjonalne). Podaje si© wysoko˜† podatku nale¾nego z tytuˆ","u importu towar¢w, wyˆ¥cznie w przypadku wyboru przez podatnika rozliczenia podatku nale¾nego z tytuˆu importu towar¢w w deklaracji podatkowej, zgodnie z art. 33a ustawy. W przypadku braku - pole pozostaje puste. WA½NE W przypadku wyst¥pienia transakcji w",,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\4.Ewidencja\1.SprzedazWiersz\K_27\,.,N,12.2,,"iif(RVN(RV->NR_DOK,'Z','X')<>0,RVN(RV->NR_DOK,'Z','X'),.F.)",,"Wysoko˜† podstawy opodatkowania wynikaj¥ca z importu usˆug, z wyˆ¥czeniem usˆug nabywanych od podatnik¢w podatku od warto˜ci dodanej, do kt¢rych stosuje si© art. 28b ustawy (pole opcjonalne). Podaje si© warto˜† netto usˆug, stanowi¥cych import usˆug. W po","zycji tej nie wykazuje si© usˆug, do kt¢rych stosuje si© art. 28b ustawy, nabywanych od podatnik¢w podatku od warto˜ci dodanej w rozumieniu ustawy, tj. podatnik¢w podatku od warto˜ci dodanej nakˆadanego na terytorium paästwa czˆonkowskiego Unii Europejski",,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\4.Ewidencja\1.SprzedazWiersz\K_28\,.,N,12.2,,"iif(RVV(RV->NR_DOK,'Z','X')<>0,RVV(RV->NR_DOK,'Z','X'),.F.)",,"Wysoko˜† podatku nale¾nego wynikaj¥ca z importu usˆug, z wyˆ¥czeniem usˆug nabywanych od podatnik¢w podatku od warto˜ci dodanej, do kt¢rych stosuje si© art. 28b ustawy (pole opcjonalne). Podaje si© wysoko˜† podatku nale¾nego od importu usˆug. W pozycji te","j nie wykazuje si© podatku od usˆug, do kt¢rych stosuje si© art. 28b ustawy, nabywanych od podatnik¢w podatku od warto˜ci dodanej w rozumieniu ustawy, tj. podatnik¢w podatku od warto˜ci dodanej nakˆadanego na terytorium paästwa czˆonkowskiego Unii Europej",,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\4.Ewidencja\1.SprzedazWiersz\K_29\,.,N,12.2,,.f.,,"Wysoko˜† podstawy opodatkowania wynikaj¥ca z importu usˆug nabywanych od podatnik¢w podatku od warto˜ci dodanej, do kt¢rych stosuje si© art. 28b ustawy (pole opcjonalne). Podaje si© warto˜† netto usˆug, stanowi¥cych import usˆug, do kt¢rych stosuje si© ar","t. 28b ustawy, nabywanych od podatnik¢w podatku od warto˜ci dodanej w rozumieniu ustawy, tj. podatnik¢w podatku od warto˜ci dodanej nakˆadanego na terytorium paästwa czˆonkowskiego Unii Europejskiej innym ni¾ terytorium kraju. W przypadku braku - pole poz",,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\4.Ewidencja\1.SprzedazWiersz\K_30\,.,N,12.2,,.f.,,"Wysoko˜† podatku nale¾nego wynikaj¥ca z importu usˆug nabywanych od podatnik¢w podatku od warto˜ci dodanej, do kt¢rych stosuje si© art. 28b ustawy (pole opcjonalne). Podaje si© wysoko˜† podatku nale¾nego od importu usˆug, dla kt¢rych miejsce ˜wiadczenia o","kre˜la si© na podstawie art. 28b ustawy, nabywanych od podatnik¢w podatku od warto˜ci dodanej w rozumieniu ustawy, tj. podatnik¢w podatku od warto˜ci dodanej nakˆadanego na terytorium paästwa czˆonkowskiego Unii Europejskiej innym ni¾ terytorium kraju. W",,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\4.Ewidencja\1.SprzedazWiersz\K_31\,.,N,12.2,,"iif(RVN(RV->NR_DOK,'S','O')<>0,RVN(RV->NR_DOK,'S','O'),.F.)",,"Wysoko˜† podstawy opodatkowania wynikaj¥ca z dostawy towar¢w, dla kt¢rych podatnikiem jest nabywca zgodnie z art. 17 ust. 1 pkt 5 ustawy (pole opcjonalne). W przypadku braku - pole pozostaje puste.",,,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\4.Ewidencja\1.SprzedazWiersz\K_32\,.,N,12.2,,.F.,,"Wysoko˜† podatku nale¾nego wynikaj¥ca z dostawy towar¢w, dla kt¢rych podatnikiem jest nabywca zgodnie z art. 17 ust. 1 pkt 5 ustawy (pole opcjonalne). W przypadku braku - pole pozostaje puste. WA½NE W przypadku wyst¥pienia transakcji w pozycji K_31, w kt¢","rych podatek nale¾ny nie wyst©puje, w polu nale¾y wykaza† ""0.00"".",,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\4.Ewidencja\1.SprzedazWiersz\K_33\,.,N,12.2,,.F.,,"Wysoko˜† podatku nale¾nego od towar¢w obj©tych spisem z natury, o kt¢rym mowa w art. 14 ust. 5 ustawy (pole opcjonalne). Podaje si© wysoko˜† podatku nale¾nego od towar¢w wˆasnej produkcji oraz towar¢w, kt¢re po nabyciu nie byˆy przedmiotem dostawy, w stos","unku do kt¢rych przysˆugiwaˆo prawo do obni¾enia kwoty podatku nale¾nego o kwot© podatku naliczonego, obj©tych spisem z natury sporz¥dzonym na dzieä: . rozwi¥zania sp¢ˆki cywilnej lub handlowej niemaj¥cej osobowo˜ci prawnej; . zaprzestania wykonywania czy",,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\4.Ewidencja\1.SprzedazWiersz\K_34\,.,N,12.2,,"iif(RVN(RV->NR_DOK,'Z','V')<>0,RVN(RV->NR_DOK,'Z','V'),.F.)",,"Wysoko˜† zwrotu odliczonej lub zwr¢conej kwoty wydanej na zakup kas rejestruj¥cych, o kt¢rym mowa w art. 111 ust. 6 ustawy (pole opcjonalne). Podaje si© wysoko˜† wcze˜niej odliczonej lub zwr¢conej podatnikowi ulgi na zakup kas rejestruj¥cych, w przypadku","gdy w okresie 3 lat od dnia rozpocz©cia prowadzenia ewidencji sprzeda¾y zakoäczy dziaˆalno˜† gospodarcz¥ lub nie podda kas rejestruj¥cych w okre˜lonych terminach obowi¥zkowemu przegl¥dowi technicznemu, a tak¾e w innych przypadkach okre˜lonych przez minist",,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\4.Ewidencja\1.SprzedazWiersz\K_35\,.,N,12.2,,"iif(RVV(RV->NR_DOK,'Z','V')<>0,RVV(RV->NR_DOK,'Z','V'),.F.)",,"Wysoko˜† podatku nale¾nego od wewn¥trzwsp¢lnotowego nabycia ˜rodk¢w transportu, wykazana w wysoko˜ci podatku nale¾nego z tytuˆu wewn¥trzwsp¢lnotowego nabycia towar¢w, podlegaj¥ca wpˆacie w terminie, o kt¢rym mowa w art. 103 ust. 3, w zwi¥zku z ust. 4 usta","wy (pole opcjonalne). Podaje si© wysoko˜† podatku nale¾nego od wewn¥trzwsp¢lnotowego nabycia ˜rodk¢w transportu, wykazan¥ w pozycji K_24, podlegaj¥cy wpˆacie na rachunek urz©du
33
skarbowego w terminie 14 dni od dnia powstania obowi¥zku podatkowego, zgo",,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\4.Ewidencja\1.SprzedazWiersz\K_36\,.,N,12.2,,"iif(RVV(RV->NR_DOK,'S','S')<>0,RVV(RV->NR_DOK,'S','S'),.F.)",,"Wysoko˜† podatku od wewn¥trzwsp¢lnotowego nabycia towar¢w, o kt¢rych mowa w art. 103 ust. 5aa ustawy, podlegaj¥ca wpˆacie w terminie, o kt¢rym mowa w art. 103 ust. 5a i 5b ustawy (pole opcjonalne). Podaje si© wysoko˜† podatku od wewn¥trzwsp¢lnotowego naby","cia towar¢w, o kt¢rych mowa w art. 103 ust. 5aa ustawy, podlegaj¥c¥ wpˆacie na rachunek urz©du skarbowego wˆa˜ciwego w zakresie wpˆat podatku akcyzowego. W przypadku braku - pole pozostaje puste.",,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\4.Ewidencja\1.SprzedazWiersz\SprzedazVAT_Marza\,.,N,12.2,,"iif(RV->MARZA,RV->NETTO+RV->VAT,.F.)",,"Warto˜† sprzeda¾y brutto dostawy towar¢w i ˜wiadczenia usˆug opodatkowanych na zasadach mar¾y zgodnie z art. 119 i art. 120 ustawy. Podaje si© caˆkowit¥ warto˜†, kt¢r¥ ma zapˆaci† nabywca z tytuˆu dokonanej na jego rzecz dostawy towar¢w lub ˜wiadczonej us",ˆugi opodatkowanych na zasadach mar¾y zgodnie z art. 119 i art. 120 ustawy (pole opcjonalne). W przypadku braku - pole pozostaje puste.,,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\4.Ewidencja\2.SprzedazCtrl\,.,,,,"vp('LpZak',0)==0 .and. RV->(dbgotop())  .and. RV->(dbseek(VG('okr')))",,Sumy kontrolne dla ewidencji sprzeda¾y VAT,,,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\4.Ewidencja\2.SprzedazCtrl\LiczbaWierszySprzedazy\,.,N,6,,"iif(vg('LpSp')>0,vg('LpSp'),'0')",,"Liczba wierszy ewidencji w zakresie podatku nale¾nego w okresie, kt¢rego dotyczy JPK_VAT. Je¾eli ewidencja nie zawiera wierszy nale¾y wykaza† ""0"".
PVAT->ILS",,,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\4.Ewidencja\2.SprzedazCtrl\PodatekNalezny\,.,N,12.2,,"iif((PVAT->SA22V+PVAT->SA23V+PVAT->SA08V+PVAT->SA05V+PVAT->SA03V+PVAT->SA07V + PVAT->SC23V+PVAT->SS23V+PVAT->ZXV)<>0, PVAT->SA22V+PVAT->SA23V+PVAT->SA08V+PVAT->SA05V+PVAT->SA03V+ PVAT->SA07V+PVAT->SC23V + PVAT->SS23V+PVAT->ZXV,""0"")",,"Podatek nale¾ny wedˆug ewidencji w okresie, kt¢rego dotyczy JPK_VAT, obliczona jako suma kwot z K_16, K_18, K_20, K_24, K_26, K_28, K_30, K_32, K_33 i K_34 pomniejszona o kwot© z K_35 i K_36, z wyˆ¥czeniem faktur, o kt¢rych mowa w art. 109 ust. 3d ustawy","(oznaczonych FP). Je¾eli w ewidencji nie wypeˆniono ¾adnego ze wskazanych element¢w, w¢wczas nale¾y wykaza† ""0.00"".",,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\4.Ewidencja\3.ZakupWiersz\,.,,1,1...999,"RV->(dbskip(1)).and.left(RV->DATA,7)==VG('okr').and.(empty(RV->DST_KLI).or.DK->(dbseek(RV->DST_KLI))).and.KD->(dbseek(RV->NR_DOK)) .and. progress(""Zakupy"", PVAT->ILZ, vg('LpZak'))",,,,,RVZ,,,,,,2022.02.09 11:39:10
JPK_V7K_3\4.Ewidencja\3.ZakupWiersz\01.LpZakupu\,.,N,5,,"vp('LpZak', vg('LpZak')+1)",,Liczba porz¥dkowa wiersza ewidencji w zakresie podatku naliczonego. W nast©puj¥cych po sobie wierszach podaje si© kolejn¥ liczb© naturaln¥ pocz¥wszy od 1.,,,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\4.Ewidencja\3.ZakupWiersz\02.KodKrajuNadaniaTIN\,.,Z,2,,"iif(!empty(DK->KK),DK->KK,.F.)",,"Kod kraju nadania numeru, za pomoc¥ kt¢rego dostawca lub usˆugodawca jest zidentyfikowany na potrzeby podatku lub podatku od warto˜ci dodanej (pole opcjonalne). Podaje si© literowy kod kraju, w kt¢rym dostawca lub usˆugodawca (kontrahent) jest zidentyfiko",wany na potrzeby podatku lub podatku od warto˜ci dodanej. W przypadku braku numeru TIN dostawcy lub usˆugodawcy - pole pozostaje puste. Przykˆad dla kontrahenta z Austrii: AT,,,,,,,,2022.02.09 11:39:10
